,channel 3
Revision:           ,0
Type:               ,AVERage
Start:              ,0
Points:             ,1000
Count:              ,256
XDispRange:         ,2.00000E-09
XDispOrg:           ,-1.000000000E-09
XInc:               ,2.5000000E-11
XOrg:               ,-1.2488281250E-08
Units:              ,second
YDispRange:         ,1.60000E+00
YDispOrg:           ,0.0E+00
YInc:               ,2.6346393715428E-05
YOrg:               ,2.32918581226613E-02
Units:              ,Volt
Frame:              ,DSO80804B:
Date:               ,8 MAR 2017
Time:               ,14:01:47
Max Bandwidth:      ,8000000000
Min Bandwidth:      ,0
Time Tags (channel 3),channel 3
-1.98828E-09,1.5E-03
-1.96328E-09,1.5E-03
-1.93828E-09,1.7E-03
-1.91328E-09,2.0E-03
-1.88828E-09,2.0E-03
-1.86328E-09,1.7E-03
-1.83828E-09,1.4E-03
-1.81328E-09,1.4E-03
-1.78828E-09,1.5E-03
-1.76328E-09,1.6E-03
-1.73828E-09,1.6E-03
-1.71328E-09,1.4E-03
-1.68828E-09,1.4E-03
-1.66328E-09,1.6E-03
-1.63828E-09,1.7E-03
-1.61328E-09,1.7E-03
-1.58828E-09,1.5E-03
-1.56328E-09,1.4E-03
-1.53828E-09,1.5E-03
-1.51328E-09,1.6E-03
-1.48828E-09,1.7E-03
-1.46328E-09,1.7E-03
-1.43828E-09,1.7E-03
-1.41328E-09,1.7E-03
-1.38828E-09,1.7E-03
-1.36328E-09,1.5E-03
-1.33828E-09,1.3E-03
-1.31328E-09,1.2E-03
-1.28828E-09,1.3E-03
-1.26328E-09,1.6E-03
-1.23828E-09,1.7E-03
-1.21328E-09,1.8E-03
-1.18828E-09,1.8E-03
-1.16328E-09,1.8E-03
-1.13828E-09,1.8E-03
-1.11328E-09,1.8E-03
-1.08828E-09,1.8E-03
-1.06328E-09,1.6E-03
-1.03828E-09,1.5E-03
-1.01328E-09,1.7E-03
-9.8828E-10,2.2E-03
-9.6328E-10,2.5E-03
-9.3828E-10,2.1E-03
-9.1328E-10,1.4E-03
-8.8828E-10,1.2E-03
-8.6328E-10,1.8E-03
-8.3828E-10,2.4E-03
-8.1328E-10,1.9E-03
-7.8828E-10,9E-04
-7.6328E-10,8E-04
-7.3828E-10,1.9E-03
-7.1328E-10,2.5E-03
-6.8828E-10,1.8E-03
-6.6328E-10,1.0E-03
-6.3828E-10,1.6E-03
-6.1328E-10,2.9E-03
-5.8828E-10,2.7E-03
-5.6328E-10,1.0E-03
-5.3828E-10,3E-04
-5.1328E-10,2.0E-03
-4.8828E-10,3.8E-03
-4.6328E-10,2.5E-03
-4.3828E-10,-4E-04
-4.1328E-10,-4E-04
-3.8828E-10,3.2E-03
-3.6328E-10,5.1E-03
-3.3828E-10,1.5E-03
-3.1328E-10,-2.8E-03
-2.8828E-10,-8E-04
-2.6328E-10,5.1E-03
-2.3828E-10,5.4E-03
-2.1328E-10,-1.9E-03
-1.8828E-10,-5.5E-03
-1.6328E-10,2.7E-03
-1.3828E-10,1.15E-02
-1.1328E-10,4.3E-03
-8.828E-11,-1.10E-02
-6.328E-11,-6.3E-03
-3.828E-11,1.94E-02
-1.328E-11,9.0E-03
1.172E-11,-1.021E-01
3.672E-11,-2.923E-01
6.172E-11,-4.294E-01
8.672E-11,-3.740E-01
1.1172E-10,-1.159E-01
1.3672E-10,2.008E-01
1.6172E-10,3.969E-01
1.8672E-10,4.002E-01
2.1172E-10,2.743E-01
2.3672E-10,1.321E-01
2.6172E-10,3.90E-02
2.8672E-10,-5.1E-03
3.1172E-10,-2.43E-02
3.3672E-10,-3.07E-02
3.6172E-10,-2.56E-02
3.8672E-10,-1.36E-02
4.1172E-10,-2.9E-03
4.3672E-10,3.5E-03
4.6172E-10,8.4E-03
4.8672E-10,1.24E-02
5.1172E-10,1.18E-02
5.3672E-10,5.2E-03
5.6172E-10,-2.7E-03
5.8672E-10,-5.2E-03
6.1172E-10,-1.9E-03
6.3672E-10,2.0E-03
6.6172E-10,2.6E-03
6.8672E-10,1.2E-03
7.1172E-10,8E-04
7.3672E-10,2.0E-03
7.6172E-10,2.3E-03
7.8672E-10,1.0E-03
8.1172E-10,-3E-04
8.3672E-10,3E-04
8.6172E-10,2.2E-03
8.8672E-10,3.1E-03
9.1172E-10,2.1E-03
9.3672E-10,8E-04
9.6172E-10,1.0E-03
9.8672E-10,2.7E-03
1.01172E-09,4.1E-03
1.03672E-09,4.0E-03
1.06172E-09,2.7E-03
1.08672E-09,1.5E-03
1.11172E-09,1.0E-03
1.13672E-09,9E-04
1.16172E-09,8E-04
1.18672E-09,6E-04
1.21172E-09,8E-04
1.23672E-09,1.1E-03
1.26172E-09,8E-04
1.28672E-09,4E-04
1.31172E-09,6E-04
1.33672E-09,1.9E-03
